"date","id","title","rubric","subrubric","publikations_status","primaryTenantCode","kanton"
2023-07-03,"1995ca3d-9fa6-42cf-9a7a-22d578628e57","Löschung Hotel garni Trais Fluors, R. Filli, Celerina/Schlarigna","HR","HR03","PUBLISHED","shab","GR"
2023-07-03,"a7344eae-074d-4661-bad7-759138c3afd9","Löschung ECM Dressursport GmbH in Liquidation, Arisdorf","HR","HR03","PUBLISHED","shab","BL"
2023-07-03,"438a80d6-9f20-479c-a412-94ba30294530","Löschung Plantatent AG, Sennwald","HR","HR03","PUBLISHED","shab","SG"
2023-07-03,"d0b261e4-9edd-453a-8534-63c1cbfd91e9","Löschung QualiRisk AG, Liestal","HR","HR03","PUBLISHED","shab","BL"
2023-07-03,"d03581b3-1041-4757-95ce-5ed266025662","Löschung Stöcklin Media GmbH in Liquidation, Ettingen","HR","HR03","PUBLISHED","shab","BL"
2023-07-03,"bfa08ddd-57b5-49e2-a4fb-596b232c3c11","Löschung Le Boulier Immobilien AG, Belp","HR","HR03","PUBLISHED","shab","BE"
2023-07-03,"ed808b13-ba94-421a-8971-14cd35c655d5","Löschung Oelbrennerservice Kurt Schmid AG, Saanen","HR","HR03","PUBLISHED","shab","BE"
2023-07-03,"8b74167a-028d-496a-9705-f4ec90978a13","Löschung CENTIX AG in Liquidation, Baar","HR","HR03","PUBLISHED","shab","ZG"
2023-07-03,"158cdb40-eb87-4449-ad57-eb3adaf7c3cf","Löschung Hans Peter Zimmermann, Kirchdorf (BE)","HR","HR03","PUBLISHED","shab","BE"
2023-07-03,"80b11aed-aa50-4b24-b4a4-f2615f9efe6a","Löschung Fabrice Ottet, Chauffage-Sanitaire, Grolley","HR","HR03","PUBLISHED","shab","FR"
2023-07-03,"6f720cee-06d3-49cb-b471-ad940c6300a0","Löschung Hector Beteiligungs AG, Zürich","HR","HR03","PUBLISHED","shab","ZH"
2023-07-03,"7f81fec0-3026-4711-8356-8f373d0c24ea","Löschung M. Scherrer Holding AG, Urdorf","HR","HR03","PUBLISHED","shab","ZH"
2023-07-03,"02073c30-7c87-459d-8d3e-607634a85641","Löschung Kinderkrippe Tigerli GmbH in Liquidation, Volketswil","HR","HR03","PUBLISHED","shab","ZH"
2023-07-03,"1ab19439-029f-4bec-8653-cae8838e9b96","Löschung Sieb Handel, Inhaber Ahmadi, Rüti (ZH)","HR","HR03","PUBLISHED","shab","ZH"
2023-07-03,"78f13079-bbb5-4c5a-8ac7-fa34a4ef244f","Löschung E. Sidler, Sanitäre Anlagen, Zürich","HR","HR03","PUBLISHED","shab","ZH"
2023-07-03,"53b9cb2d-e2d9-454d-96a6-f47068a4aa61","Löschung Gastro ZH Event GmbH, Lufingen","HR","HR03","PUBLISHED","shab","ZH"
2023-07-03,"3431ac0a-9970-40ca-954e-12609c43292a","Löschung Axel Schmitz Healthcare Consulting, Uetikon am See","HR","HR03","PUBLISHED","shab","ZH"
2023-07-03,"48168cbe-aabf-42f3-9d55-11b15729709d","Löschung Glambou AG, Zürich","HR","HR03","PUBLISHED","shab","ZH"
2023-07-03,"d7ba2f71-c4e4-4b58-bf1f-1193ee3aa99d","Neueintragung Paramedic Wallis/Valais GmbH, Grächen","HR","HR01","PUBLISHED","shab","VS"
2023-07-03,"585fc2d2-e587-4361-b43f-53580c65fc77","Neueintragung Raffemet (Suisse) SA, Genève","HR","HR01","PUBLISHED","shab","GE"
2023-07-03,"5b76f7da-1049-4987-9176-c1390f72debd","Neueintragung Régie des Alpes SA, Genève","HR","HR01","PUBLISHED","shab","GE"
