date,ch.kof.aiu.ng08.fx.q_ql_ass_bs.balance.d11,ch.kof.bau.ng08.fx.q_ql_ass_bs.balance.d11,ch.kof.bts_total.ng08.fx.q_ql_ass_bs.balance.d11,ch.kof.dhu.ng08.fx.q_ql_ass_bs.balance.d11,ch.kof.dlu.ng08.fx.q_ql_ass_bs.balance.d11,ch.kof.fvu.ng08.fx.q_ql_ass_bs.balance.d11,ch.kof.ggu.ng08.fx.q_ql_ass_bs.balance.d11,ch.kof.ghu.ng08.fx.q_ql_ass_bs.balance.d11,ch.kof.inu.ng08.fx.q_ql_ass_bs.balance.d11
2018-05,46.63,28.53,28.85,9.09,,44.49,,,27.14
2018-06,46.69,28.19,28.21,7.98,,41.98,,,26.35
2018-07,45.41,28.67,28.95,9.21,26.99,41.75,7.07,32.41,27.77
2018-08,46.05,27.75,28.56,6.93,,39.7,,,28.17
2018-09,46.25,28.05,28.39,8.54,,40.78,,,26.27
2018-10,46.67,29.63,28.2,6.51,28.06,40.08,9.04,33.37,23.81
2018-11,44.51,29.87,28.81,6.63,,39.36,,,26.96
2018-12,46.22,30.39,27.82,4.38,,35.74,,,25.21
2019-01,47.31,26.9,24.8,4.15,26.25,31.57,7.66,27.29,21.83
2019-02,48.69,29.2,24.96,4.23,,34.03,,,20.16
2019-03,52.8,29.35,24.32,6.78,,30.59,,,18.33
2019-04,52.12,32.77,24.15,11.45,25.05,35.2,5.33,26.34,15
2019-05,50.4,34.45,23.36,9.42,,32.95,,,13.24
2019-06,55.64,34.55,23.46,9.51,,33.52,,,12.67
2019-07,52,34.13,22.19,5.23,29.14,34.47,9.23,15.85,8.9
2019-08,53.41,31.81,22.81,14.22,,36.75,,,8.26
2019-09,51.31,34.33,22.29,7.75,,39.14,,,5.85
2019-10,52.1,29.27,21.86,4.77,27.9,40.27,7.02,17.7,6.32
2019-11,55.79,32.95,22.01,7.05,,43.52,,,2.91
2019-12,52.41,32,21.12,6.7,,46.89,,,-2.1
2020-01,51.73,32.97,21.24,8.12,28.1,40.48,6.57,19.1,0.65
2020-02,51.46,37.86,21.92,4.3,,39.43,,,3.74
2020-03,48.61,32.54,18.96,6.67,,32.25,,,-3.18
2020-04,24.38,2.53,-19.34,-25.7,-34.66,8.95,-61.88,-31.23,-15.05
